0.318809,0.337067,0.655876
0.074280,0.008896,0.083177
0.056016,0.003515,0.059531
0.049484,0.002939,0.052422
0.048596,0.005161,0.053757
0.042059,0.001732,0.043792
0.040090,0.001366,0.041456
0.038464,0.001177,0.039641
0.036860,0.001205,0.038065
0.036094,0.000950,0.037044
0.243754,0.553706,0.797460
0.234767,0.573592,0.808360
0.266301,0.630649,0.896950
0.210069,0.522289,0.732358
0.267442,0.500298,0.767740
0.268295,0.648398,0.916693
0.306404,0.555218,0.861622
0.303060,0.574393,0.877453
0.240612,0.612687,0.853299
0.215527,0.457474,0.673001
0.255867,0.442898,0.698765
0.247160,0.649664,0.896825
0.254652,0.623183,0.877835
0.254789,0.575319,0.830108
0.275730,0.587414,0.863144
0.261021,0.636855,0.897875
0.216372,0.555650,0.772021
0.225640,0.471276,0.696916
0.256660,0.651991,0.908652
0.249073,0.626058,0.875131
0.256194,0.634034,0.890228
